final_cluster,negative,positive,time_label
검찰개혁_윤석열,1.0,0.0,1
검찰개혁_이재명,1.0,0.0,1
모병제_안철수,0.6,0.4,1
모병제_윤석열,0.5577169183516765,0.4422830816483235,1
사전투표_안철수,0.373134328358209,0.6268656716417911,1
사전투표_윤석열,0.6262968321891451,0.3737031678108549,1
원전_안철수,1.0,0.0,1
윤석열,0.9473684210526316,0.0526315789473684,1
이재명,1.0,0.0,1
국민의당_안철수,0.3319148936170212,0.6680851063829787,2
국민의당_윤석열,0.6052572831789262,0.3947427168210737,2
국민의힘_윤석열,0.9452054794520548,0.0547945205479452,2
국민의힘_이재명,1.0,0.0,2
무속_안철수,0.2222222222222222,0.7777777777777778,2
무속_윤석열,0.5556552342833483,0.4443447657166517,2
안보_안철수,1.0,0.0,2
안철수,1.0,0.0,2
원전_안철수,1.0,0.0,2
이재명,1.0,0.0,2
페미니즘_안철수,0.9166666666666666,0.0833333333333333,2
페미니즘_윤석열,0.5177198409191339,0.4822801590808661,2
공정_안철수,1.0,0.0,3
더불어민주당_안철수,0.2291666666666666,0.7708333333333334,3
더불어민주당_윤석열,0.6777680199959467,0.3222319800040532,3
병사월급_안철수,0.5,0.5,3
병사월급_윤석열,0.5880187159622613,0.4119812840377387,3
북한_안철수,1.0,0.0,3
안철수,1.0,0.0,3
윤석열,1.0,0.0,3
이재명,0.975609756097561,0.024390243902439,3
재개발_윤석열,0.4807692307692308,0.5192307692307693,3
징병제_윤석열,0.4047619047619047,0.5952380952380952,3
무속_안철수,0.3761467889908257,0.6238532110091743,4
무속_윤석열,0.6304524834244504,0.3695475165755496,4
부정선거_윤석열,0.8928571428571429,0.1071428571428571,4
북한_안철수,0.5555555555555556,0.4444444444444444,4
안철수,0.7857142857142857,0.2142857142857142,4
원전_안철수,1.0,0.0,4
이재명,0.9523809523809524,0.0476190476190476,4
주가조작_윤석열,1.0,0.0,4
주가조작_이재명,1.0,0.0,4
더불어민주당_안철수,0.4201680672268907,0.5798319327731093,5
더불어민주당_윤석열,0.6438861769258245,0.3561138230741755,5
부정선거_윤석열,1.0,0.0,5
부정선거_이재명,1.0,0.0,5
사전투표_안철수,0.0,1.0,5
사전투표_윤석열,0.5564366458579383,0.4435633541420617,5
안철수,1.0,0.0,5
원전_안철수,1.0,0.0,5
이재명,0.9838709677419356,0.0161290322580645,5
화천대유_안철수,0.2307692307692307,0.7692307692307693,5
화천대유_윤석열,0.543559718969555,0.456440281030445,5
