final_cluster,negative,positive
기본소득_김문수,0.3946980854197349,0.605301914580265
김문수,0.6148294883481756,0.3851705116518243
물가상승_김문수,0.5245752427184466,0.4754247572815534
물가상승_이재명,0.2,0.8
물가상승_이준석,0.5,0.5
부정선거_김문수,1.0,0.0
부정선거_이준석,0.9905660377358491,0.009433962264150943
실용주의_김문수,0.5394813803860402,0.46051861961395985
여론조사_이재명,0.9907407407407407,0.009259259259259259
연금개혁_김문수,0.5989208633093526,0.4010791366906475
이준석,0.975,0.025
최저임금_김문수,0.4088669950738916,0.5911330049261084
탄핵_이재명,0.9645390070921985,0.03546099290780142
탄핵_이준석,0.6,0.4
